"","name","cluster","Urban.Aggl","ID","Latitude","Longitude","X2018","X1980","pop_growth","pop_growth_rate","urban_cluster","multiGHS","Country.Co","Country.or","City.Code","Continent","pop_mean","pop_sum","Area","plain_area","plain_perc","disc","alti","clim","prec","clco","biom","popd","hdev","pop_den","selection1_GSW","selection1_Discourses"
"1","Lvliang--China","cl2","Lvliang","1009136_205666",37.5195,111.1318,394.567,22.421,16.5980999955399,43.6792105145787,1,1,156,"China",205666,"AS",109.028709184108,457920.579,41925861.89,8111928.735,19.348,6.148,1393,"c08",514,"c16","b04",190.982,736,0.0109221506334548,TRUE,TRUE
"2","Sevilla--Spain","cl1","Sevilla","1017555_22562",37.3824,-5.9761,707.112,646.336,0.0940315872858698,0.247451545489131,1,1,724,"Spain",22562,"EU",56.1639709533182,915472.727,162710571.6,91126379.7,56.005,189.948,208,"c12",605,"c16","b12",129.081,853,0.00562638750511279,TRUE,TRUE
"3","Adana--Turkey","cl1","Adana","1040443_22647",37.0017,35.3289,1729.859,568.377,2.0435063347039,5.3776482492208,1,1,792,"Turkey",22647,"AS",49.2759250016193,655369.803,132753374.6,43471363.38,32.746,126.839,1391,"c08",555,"c12","b12",71.014,767,0.0049367468433454,TRUE,TRUE
"4","Nagano--Japan","cl2","Nagano","1069267_21645",36.6514,138.1811,375.462,175.55,1.13877527769866,2.99677704657542,1,1,392,"Japan",21645,"AS",30.2522554618367,290421.652,95817582.6,48896366.45,51.031,485.866,914,"c10",1631,"c04","b04",182.575,904,0.00303098496246136,TRUE,TRUE
"5","Xining--China","cl1","Xining","1071153_20736",36.6167,101.7667,1451.555,427.437,2.39595074829741,6.30513354815108,1,1,156,"China",20736,"AS",97.4128223760128,1305331.82,133737808.1,36084291.85,26.981,45.475,3016,"c07",442,"c13","b10",196.907,678,0.00976037994449529,TRUE,TRUE
"6","Ji'nan, Shandong--China","cl2","Ji'nan, Shandong","1073035_20567",36.6767,116.9971,5051.675,1260,3.00926587301587,7.91912071846282,1,1,156,"China",20567,"AS",68.3202817488766,3757615.496,548934287.1,173928657.5,31.685,1490.638,91,"c11",604,"c16","b04",831.836,766,0.00684529202183989,TRUE,TRUE
"7","Visalia--United States of America","cl1","Visalia","1084665_23172",36.3241,-119.3073,361.103,59.471,5.07191740512182,13.3471510661101,1,1,840,"United States of America",23172,"AN",15.5113408585056,111681.654,71854174.18,4193695.882,5.836,84.166,836,"c12",372,"c04","b08",37.254,951,0.00155428206189148,TRUE,TRUE
"8","Daejon--Republic of Korea","cl2","Daejon","1087679_21764",36.3214,127.4197,1558.244,640.557,1.43263909378869,3.77010287839128,1,1,410,"Republic of Korea",21764,"AS",73.339662834322,1518131.021,206584882.5,7057107.826,3.416,214.015,229,"c11",1284,"c04","b04",363.549,901,0.00734870336410022,TRUE,TRUE
"9","Al-Mawsil (Mosul)--Iraq","cl1","Al-Mawsil (Mosul)","1087681_21536",36.335,43.1189,1527.315,489.305,2.12139667487559,5.58262282861997,1,1,368,"Iraq",21536,"AS",145.491990175268,1469469.101,100799838.3,44165876.01,43.815,822.444,405,"c14",577,"c14","b08",161.027,644,0.0145780898638604,TRUE,TRUE
"10","Qacentina--Algeria","cl1","Qacentina","1087683_20019",36.3549,6.6073,417.758,375.749,0.111800696741708,0.294212359846599,1,1,12,"Algeria",20019,"AF",46.5055422465373,548765.399,117763766.6,17073125.6,14.498,46.198,744,"c11",683,"c12","b12",269.371,745,0.00465988321232925,TRUE,TRUE
"11","Pohang--Republic of Korea","cl2","Pohang","1105613_21755",36.0172,129.3602,355.115,171.277,1.0733373424336,2.82457195377264,1,1,410,"Republic of Korea",21755,"AS",36.4447795785473,397248.097,108774193.9,15310331.8,14.075,1.812,457,"c10",1073,"c02","b04",330.848,758,0.00365204358457672,TRUE,TRUE
"12","Al-Raqqa--Syrian Arab Republic","cl1","Al-Raqqa","1110071_22607",35.95,39.0167,505.731,79.459,5.36467863929825,14.1175753665744,1,1,760,"Syrian Arab Republic",22607,"AS",56.5723051020536,209317.529,36918262.55,30437594.89,82.446,736.887,348,"c12",228,"c14","b08",83.896,536,0.00566975568572633,TRUE,TRUE
"13","Knoxville--United States of America","cl2","Knoxville","1112362_23032",35.9607,-83.9277,707.333,285.183,1.48027757615286,3.89546730566541,1,1,840,"United States of America",23032,"AN",10.2134456376548,145030.928,141702353.3,13750702.52,9.704,782.609,703,"c11",1559,"c06","b04",66.772,866,0.00102348990417225,TRUE,TRUE
"14","Deir El-Zor(Deir ez-Zor)--Syrian Arab Republic","cl1","Deir El-Zor(Deir ez-Zor)","1149258_22611",35.3322,40.1502,313.629,88.855,2.52967193742614,6.65703141427933,1,1,760,"Syrian Arab Republic",22611,"AS",101.172961938291,222580.516,21950911.11,17678647.85,80.537,756.545,333,"c14",200,"c19","b08",48.943,536,0.0101399215223736,TRUE,TRUE
"15","Sanandaj--Iran (Islamic Republic of)","cl1","Sanandaj","1149279_21518",35.3144,46.9923,427.643,126.775,2.37324393610728,6.24537877922967,1,1,364,"Iran (Islamic Republic of)",21518,"AS",54.2971450133487,342072.014,62857168.24,2854017.853,4.54,58.555,1893,"c09",490,"c14","b04",80.05,774,0.00544205257058204,TRUE,TRUE
"16","Hamah--Syrian Arab Republic","cl1","Hamah","1163725_22612",35.1318,36.7578,893.572,241.442,2.70097994549416,7.10784196182673,1,1,760,"Syrian Arab Republic",22612,"AS",63.904588616014,293961.108,45895781.92,7577123.344,16.509,197.443,669,"c12",543,"c14","b12",213.463,607,0.00640497003651441,TRUE,TRUE
"17","Busan--Republic of Korea","cl2","Busan","1163957_21757",35.1028,129.0403,3466.898,2905.86,0.193071242248422,0.508082216443216,2,1,410,"Republic of Korea",21757,"AS",78.8756936121823,3604619.198,455964633,32018960.93,7.022,1.812,457,"c10",1073,"c02","b04",330.848,758,0.00790547980505321,TRUE,TRUE
"18","Linyi, Shandong--China","cl2","Linyi, Shandong","1172834_20604",35.0541,118.3334,1843.391,127.756,13.4289974639156,35.3394670103042,1,1,156,"China",20604,"AS",25.7630055169944,1252082.068,484893262.9,173390119.9,35.758,100.308,204,"c11",783,"c16","b04",588.648,768,0.00258218078863722,TRUE,TRUE
"19","Tongchuan--China","cl2","Tongchuan","1177245_20695",34.8988,108.9506,528.034,202.5,1.60757530864198,4.23046133853151,1,1,156,"China",20695,"AS",33.4590763460934,143874.028,42899974.83,1160038.022,2.704,14.359,918,"c11",576,"c16","b04",413.303,738,0.00335370891405252,TRUE,TRUE
"20","Little Rock--United States of America","cl2","Little Rock","1186175_23049",34.742,-92.2754,500.491,295.383,0.694379839056412,1.82731536593792,1,1,840,"United States of America",23049,"AN",10.4904747334788,156308.074,148643535.7,60157148.01,40.471,1267.921,95,"c11",1275,"c16","b04",93.48,797,0.00105156321305131,TRUE,TRUE
"21","Huntsville--United States of America","cl2","Huntsville","1190263_23016",34.7297,-86.5898,366.024,154.45,1.36985432178699,3.60487979417628,1,1,840,"United States of America",23016,"AN",12.1949817969812,108535.338,88790301.21,18756085.61,21.124,2039.762,264,"c11",1437,"c02","b04",47.135,811,0.00122237830619923,TRUE,FALSE
"22","Oujda--Morocco","cl1","Oujda","1190598_21898",34.6805,-1.9076,535.609,240.845,1.22387427598663,3.22072177891219,1,1,504,"Morocco",21898,"AF",87.7038112614375,561304.392,63848162.79,1579670.368,2.474,6.195,731,"c12",434,"c12","b12",176.692,716,0.00879123795380236,TRUE,TRUE
"23","Kénitra--Morocco","cl2","Kénitra","1215342_21894",34.261,-6.5802,462.615,177.424,1.60739809721345,4.22999499266699,1,1,504,"Morocco",21894,"AF",63.801672704043,542314.218,84789699.85,40525976.59,47.796,135.366,60,"c14",564,"c02","b12",602.333,647,0.00639599171785486,TRUE,TRUE
"24","Oxnard--United States of America","cl1","Oxnard","1221296_23092",34.1975,-119.1771,393.709,264.194,0.490226878733052,1.29007073350803,1,1,840,"United States of America",23092,"AN",22.7423624764256,320667.311,140653412.4,9424338.632,6.7,0.066,563,"c12",474,"c04","b12",751.882,951,0.00227984025078654,TRUE,TRUE
