urban_aggl,occurrencesv2,total_occurrencesv2
Abakaliki,7,7
Abomey-Calavi,4,21
Adana,1,1
Agartala,6,14
Ahmedabad,1,1
Al-Khartum (Khartoum),2,2
Al-Mawsil (Mosul),2,35
Al-Qahirah (Cairo),6,6
Allentown,1,2
Angeles City,3,4
Ankang,1,2
Ankara,1,2
Anning,1,1
Antananarivo,2,2
Aracaju,1,1
Aswan,22,30
Asyut,11,28
Aurora,1,0
Austin,1,1
Bahia Blanca,1,1
Bamako,4,6
Bangui,4,4
Barranquilla,1,0
Basel,1,1
Batman,9,9
Begusarai,1,1
Belem,1,0
Belgrade,1,1
Berlin,2,4
Bhagalpur,4,4
Bhilwara,4,6
Bhubaneswar,3,5
Bihar Sharif,1,1
Bogota,2,2
Bratislava,10,11
Brest,1,1
Brisbane,6,15
Bruxelles-Brussel,6,9
Buenos Aires,2,2
Bujumbura,1,1
Bur Sa'id (Port Said),3,4
Cagayan de Oro City,3,10
Calabar,4,3
Chicago,1,1
Chisinau,2,2
Chitungwiza,2,4
Colombo,13,29
"Columbia, South Carolina",1,2
Concepcion,2,2
Coquimbo,3,2
Cordoba,2,1
Corrientes,1,1
Cuenca (Santa Ana de los Rios de),5,0
Culiacan,2,2
Cumana,6,9
Dallas,1,0
Delhi,1,1
Denver,1,5
Diyarbakir,4,3
Douala,2,6
Dujiangyan,1,1
Durgapur,5,11
Easton,2,2
Edmonton,3,2
English Bazar,1,3
Erode,4,13
Farrukhabad,1,1
Fes,1,1
"Fuzhou, Jiangxi",2,5
Gatineau,2,2
Geneve,3,5
Grand Rapids,1,0
Grenoble,4,2
Guayaquil,1,0
Hamhung,1,1
Hanzhong,5,5
Houston,1,4
Huaihua,1,1
Huizhou,5,23
Iligan,3,11
Imphal,1,2
Indianapolis,1,3
Jiujiang,5,5
Kaili,2,2
Kaluga,2,5
Kansas City,7,7
Karachi,5,24
Karur,3,5
Kenitra,1,0
Khammam,3,5
Kigali,5,10
Knoxville,1,1
Koln,4,4
Kuala Terengganu,1,1
Kut,3,1
La Serena,4,2
Langfang,2,2
Lhassa,3,3
Liege,13,21
Little Rock,2,3
Lyon,4,3
Managua,4,10
Mandalay,3,4
Mangalore,4,4
Manisa,3,1
Mbandaka,1,1
McHenry,1,2
Meerut,1,2
Melbourne,1,2
Minatitlan,1,0
Mymensingh,4,4
Nagano,1,2
Nanded Waghala,3,3
"Nanjing, Jiangsu",5,6
Nasiriyah,1,1
Navsari,2,2
Nellore,5,18
Nha Trang,2,4
Niamey,2,5
Ningbo,1,0
Nottingham,4,5
Oaxaca de Juarez,1,2
Onitsha,5,5
Ottappalam,8,57
Ottawa,2,2
Oujda,4,21
P'yongyang,1,1
Palembang,1,1
Panjin,3,3
Panzhihua,1,15
Paris,4,5
Patna,5,14
Perth,1,1
Phnum Penh (Phnom Penh),2,2
Plottier,1,3
Porto Alegre,2,2
Porto Velho,1,2
Praha,2,3
Preston,2,2
Puebla,1,0
Purnia,2,3
Qacentina,2,3
Qitaihe,1,15
Queretaro,1,1
Rabat,2,2
Rampur,2,4
Rangpur,7,10
Ranipet,11,14
Ratchaburi,2,3
Reading,6,3
Recife,1,0
Roma,6,10
Sakarya,4,5
Samarinda,1,1
Samarkand,3,6
Sanming,1,2
Sao Paulo,1,2
Sarajevo,1,1
Satna,1,1
Sevilla,1,2
Shangrao,1,1
Srinagar,2,2
St. Louis,3,3
Sylhet,3,4
Szczecin,2,6
Tbilisi,1,1
Temuco,1,1
Thanh Pho Ho Chi Minh (Ho Chi Minh City),10,14
Thrissur,1,1
Tieling,1,1
Tiruchirappalli,6,11
Tongchuan,3,3
Tongling,3,3
Torino,4,11
Toulouse,4,4
Tula,1,1
Ufa,2,3
Vancouver,2,2
Varanasi,1,1
Vientiane,1,1
Vilnius,3,4
Vladikavkaz,1,1
Warri,2,2
Warsaw,4,4
Winnipeg,2,3
Wokingham,4,1
Wuhan,5,5
Wulanhaote,1,1
Xining,1,1
Yaan,4,4
Yanji,1,1
Yinchuan,1,1
Zagreb,4,4
