code;nom;citycode;Presence;A.qualifier..pour.moi.;Datation.estimee;intensitee.estimee;Loc.laterale;Loc.longitu;Encore.en.cours;nombre_carrieres;surface_totale_m2;surface_totale_km2;Urban.Aggl;occurrences;name;cluster;Country.or;Continent;clim;clco;biom;npos;nneg;nneu;num_pixels;num_tot;perc_pos;perc_neg;perc_neu;categ_prop;code_prop;Latitude;Longitude;CityLength_km
157;Abakaliki--Nigeria;2455445_206382;1;0;Env. 2005;2;plain;amont urb;NA;0;0;0;Abakaliki;6;Abakaliki--Nigeria;cl5;Nigeria;AF;c18;c17;b01;84;NA;NA;84;NA;NA;NA;NA;NA;NA;6.3163;81169;5
162;Abidjan--CÃƒÆ’Ã‚Â´te d'Ivoire;2478815_21602;1;0;Env. 2010;1;plain;amont urb;NA;40;188699.84;0.18869984;Abidjan;0;Abidjan--CÃƒÂ´te d'Ivoire;cl5;CÃƒÂ´te d'Ivoire;AF;c18;c17;b01;15909;9272;123267;467871;148448;0.107168840267299;0.0624595818064238;0.830371577926277;D : Minor increase and minor decrease;D;5.3453;-40268;23
156;Abomey-Calavi--Benin;2453450_204024;1;0;Env. 2015;2;plain;amont urb;NA;2;26689.83597;0.02668983597;Abomey-Calavi;4;Abomey-Calavi--Benin;cl5;Benin;AF;c17;c12;b07;30213;19983;183824;600855;234020;0.129104350055551;0.0853901375950773;0.785505512349372;D : Minor increase and minor decrease;D;6.4485;23557;18
3;Adana--Turkey;1040443_22647;1;0;Env. 1990;3;corr;amont urb;NA;0;0;0;Adana;0;Adana--Turkey;cl1;Turkey;AS;c08;c12;b12;132242;21677;80398;575393;234317;0.564372196639595;0.092511426827759;0.343116376532646;B : Medium increase and minor decrease;B;37.0017;353289;9
95;Agartala--India;1802401_21150;1;0;Pre-1985;2;corr plain;amont urb aval;NA;4;182914.97533;0.18291497533;Agartala;6;Agartala--India;cl2;India;AS;c18;c16;b01;410068;1241027;541013;15265234;2192108;0.187065600782443;0.56613405908833;0.246800340129227;E : Minor increase and medium decrease;E;23.8364;91275;15
66;Agra--India;1601924_21151;0;0;NA;0;NA;NA;NA;5;3519217.49428;3.51921749428;Agra;0;Agra--India;cl2;India;AS;c16;c16;b01;22525;38944;12982;355386;74451;0.302547984580462;0.523082295738136;0.174369719681401;E : Minor increase and medium decrease;E;27.1833;780167;16
98;Ahmadabad--India;1851691_21152;1;0;Pre-1985;5;corr plain;amont urb aval;NA;0;0;0;Ahmadabad;0;Ahmadabad--India;cl2;India;AS;c17;c16;b02;40506;11982;2180;149556;54668;0.740945342796517;0.219177581034609;0.0398770761688739;A : Major increase and minor decrease;A;23.0333;726167;23
118;Al-Khartum (Khartoum)--Sudan;2152806_22579;0;0;NA;0;NA;NA;NA;0;0;0;Al-Khartum (Khartoum);0;Al-Khartum (Khartoum)--Sudan;cl2;Sudan;AF;c17;c19;b07;282976;75496;445950;5445242;804422;0.351775560588845;0.0938512372859022;0.554373202125253;D : Minor increase and minor decrease;D;15.5518;325324;47
281;Allentown-Bethlehem--United States of America;850666_22910;1;0;Pre-1985;3;plain;amont urb aval;NA;48;10977414.137;10.977414137;Allentown-Bethlehem;1;Allentown-Bethlehem--United States of America;cl2;United States of America;AN;c10;c02;b04;27159;18085;40267;276541;85511;0.317608260925495;0.211493258177311;0.470898480897194;D : Minor increase and minor decrease;D;40.6091;-75476;38
40;Al-Mansurah--Egypt;1387971_22819;0;0;NA;0;NA;NA;NA;0;0;0;Al-Mansurah;0;Al-Mansurah--Egypt;cl2;Egypt;AF;c14;c16;b09;14805;3729;12153;86640;30687;0.482451852576009;0.121517254863623;0.396030892560368;B : Medium increase and minor decrease;B;31.0364;313807;13
9;Al-Mawsil (Mosul)--Iraq;1087681_21536;1;0;Env. 1990;4;corr plain;amont urb aval;NA;23;7793703.07309;7.79370307309;Al-Mawsil (Mosul);1;Al-Mawsil (Mosul)--Iraq;cl1;Iraq;AS;c14;c14;b08;32724;22133;24838;467837;79695;0.410615471485037;0.277721312503921;0.311663216011042;B : Medium increase and minor decrease;B;36.335;431189;17
158;Alor Star--Malaysia;2460697_21801;1;0;Env. 1995;4;corr plain;amont;NA;2;190825.92564;0.19082592564;Alor Star;0;Alor Star--Malaysia;cl2;Malaysia;AS;c18;c16;b01;8704;3730;2874;77397;15308;0.568591586098772;0.243663443950875;0.187744969950353;B : Medium increase and minor decrease;B;6.1167;1003667;12
51;Al-Qahirah (Cairo)--Egypt;1470344_22812;1;0;Env. 2000;1;plain;amont urb;NA;48;50451558.47236;50.45155847236;Al-Qahirah (Cairo);5;Al-Qahirah (Cairo)--Egypt;cl1;Egypt;AF;c15;c19;b13;101651;103029;189367;2273498;394047;0.257966689252805;0.261463734021576;0.480569576725619;D : Minor increase and minor decrease;D;30.0392;312394;72
12;Al-Raqqa--Syrian Arab Republic;1110071_22607;1;0;Env. 1995;4;corr plain;amont urb aval;NA;0;0;0;Al-Raqqa;0;Al-Raqqa--Syrian Arab Republic;cl1;Syrian Arab Republic;AS;c12;c14;b08;14543;28744;25054;448546;68341;0.212800515064164;0.420596713539457;0.36660277139638;E : Minor increase and medium decrease;E;35.95;390167;11
38;Amara--Iraq;1343111_21527;1;0;Env. 1990;2;corr plain;amont aval;NA;0;0;0;Amara;0;Amara--Iraq;cl2;Iraq;AS;c15;c19;b09;10467;44223;8952;522966;63642;0.164466861506552;0.694871311398133;0.140661827095314;E : Minor increase and medium decrease;E;31.8344;471524;11
121;Angeles City--Philippines;2165769_22084;1;0;Env. 2005;4;corr;amont urb;NA;30;3680840.22447;3.68084022447;Angeles City;2;Angeles City--Philippines;cl2;Philippines;AS;c18;c16;b01;326188;22646;32911;1049737;381745;0.854465677350064;0.0593223224927635;0.086212000157173;A : Major increase and minor decrease;A;15.15;1205833;26
32;Ankang--China;1296245_23575;1;0;Env. 1995;4;corr plain;amont urb aval;NA;3;241356.86852;0.24135686852;Ankang;1;Ankang--China;cl2;China;AS;c11;c13;b04;80779;10796;42327;313552;133902;0.603269555346447;0.0806261295574375;0.316104315096115;B : Medium increase and minor decrease;B;32.6912;1090297;29
