code,nom,citycode,Presence,A.qualifier..pour.moi.,Datation.estimee,intensitee.estimee,Loc.laterale,Loc.longitu,Encore.en.cours,nombre_carrieres,surface_totale_m2,surface_totale_km2,Urban.Aggl,occurrences,name,cluster,Country.or,Continent,clim,clco,biom,npos,nneg,nneu,num_pixels,num_tot,perc_pos,perc_neg,perc_neu,categ_prop,code_prop,Latitude,Longitude,CityLength_km,total_occurrences,intens2,datation2
"157.0",Abakaliki--Nigeria,2455445_206382,"1.0","0.0",Env. 2005,"2.0",plain,amont urb,,"0.0","0.0","0.0",Abakaliki,"6.0",Abakaliki--Nigeria,cl5,Nigeria,AF,c18,c17,b01,"84",,,"84",,,,,,,"6.3163","81169","5","17.0","2","2005"
"162.0",Abidjan--CÃƒÆ’Ã‚Â´te d'Ivoire,2478815_21602,"1.0","0.0",Env. 2010,"1.0",plain,amont urb,,"40.0","188699.84","0.18869984",Abidjan,"0.0",Abidjan--CÃƒÂ´te d'Ivoire,cl5,CÃƒÂ´te d'Ivoire,AF,c18,c17,b01,"15909","9272.0","123267.0","467871","148448.0","0.107168840267299","0.0624595818064238","0.830371577926277",D : Minor increase and minor decrease,D,"5.3453","-40268","23","0.0","1","2010"
"156.0",Abomey-Calavi--Benin,2453450_204024,"1.0","0.0",Env. 2015,"2.0",plain,amont urb,,"2.0","26689.83597","0.02668983597",Abomey-Calavi,"4.0",Abomey-Calavi--Benin,cl5,Benin,AF,c17,c12,b07,"30213","19983.0","183824.0","600855","234020.0","0.129104350055551","0.0853901375950773","0.785505512349372",D : Minor increase and minor decrease,D,"6.4485","23557","18","85.0","2","2015"
"3.0",Adana--Turkey,1040443_22647,"1.0","0.0",Env. 1990,"3.0",corr,amont urb,,"0.0","0.0","0.0",Adana,"0.0",Adana--Turkey,cl1,Turkey,AS,c08,c12,b12,"132242","21677.0","80398.0","575393","234317.0","0.564372196639595","0.092511426827759","0.343116376532646",B : Medium increase and minor decrease,B,"37.0017","353289","9","0.0","3","1990"
"95.0",Agartala--India,1802401_21150,"1.0","0.0",Pre-1985,"2.0",corr plain,amont urb aval,,"4.0","182914.97533","0.18291497533",Agartala,"6.0",Agartala--India,cl2,India,AS,c18,c16,b01,"410068","1241027.0","541013.0","15265234","2192108.0","0.187065600782443","0.56613405908833","0.246800340129227",E : Minor increase and medium decrease,E,"23.8364","91275","15","49.0","2","1985"
"66.0",Agra--India,1601924_21151,"0.0","0.0",,"0.0",,,,"5.0","3519217.49428","3.51921749428",Agra,"0.0",Agra--India,cl2,India,AS,c16,c16,b01,"22525","38944.0","12982.0","355386","74451.0","0.302547984580462","0.523082295738136","0.174369719681401",E : Minor increase and medium decrease,E,"27.1833","780167","16","0.0","0",
"98.0",Ahmadabad--India,1851691_21152,"1.0","0.0",Pre-1985,"5.0",corr plain,amont urb aval,,"0.0","0.0","0.0",Ahmadabad,"0.0",Ahmadabad--India,cl2,India,AS,c17,c16,b02,"40506","11982.0","2180.0","149556","54668.0","0.740945342796517","0.219177581034609","0.0398770761688739",A : Major increase and minor decrease,A,"23.0333","726167","23","0.0","5","1985"
"118.0",Al-Khartum (Khartoum)--Sudan,2152806_22579,"0.0","0.0",,"0.0",,,,"0.0","0.0","0.0",Al-Khartum (Khartoum),"0.0",Al-Khartum (Khartoum)--Sudan,cl2,Sudan,AF,c17,c19,b07,"282976","75496.0","445950.0","5445242","804422.0","0.351775560588845","0.0938512372859022","0.554373202125253",D : Minor increase and minor decrease,D,"15.5518","325324","47","0.0","0",
"281.0",Allentown-Bethlehem--United States of America,850666_22910,"1.0","0.0",Pre-1985,"3.0",plain,amont urb aval,,"48.0","10977414.137","10.977414137",Allentown-Bethlehem,"1.0",Allentown-Bethlehem--United States of America,cl2,United States of America,AN,c10,c02,b04,"27159","18085.0","40267.0","276541","85511.0","0.317608260925495","0.211493258177311","0.470898480897194",D : Minor increase and minor decrease,D,"40.6091","-75476","38","3.0","3","1985"
"40.0",Al-Mansurah--Egypt,1387971_22819,"0.0","0.0",,"0.0",,,,"0.0","0.0","0.0",Al-Mansurah,"0.0",Al-Mansurah--Egypt,cl2,Egypt,AF,c14,c16,b09,"14805","3729.0","12153.0","86640","30687.0","0.482451852576009","0.121517254863623","0.396030892560368",B : Medium increase and minor decrease,B,"31.0364","313807","13","0.0","0",
"9.0",Al-Mawsil (Mosul)--Iraq,1087681_21536,"1.0","0.0",Env. 1990,"4.0",corr plain,amont urb aval,,"23.0","7793703.07309","7.79370307309",Al-Mawsil (Mosul),"1.0",Al-Mawsil (Mosul)--Iraq,cl1,Iraq,AS,c14,c14,b08,"32724","22133.0","24838.0","467837","79695.0","0.410615471485037","0.277721312503921","0.311663216011042",B : Medium increase and minor decrease,B,"36.335","431189","17","38.0","4","1990"
"158.0",Alor Star--Malaysia,2460697_21801,"1.0","0.0",Env. 1995,"4.0",corr plain,amont,,"2.0","190825.92564","0.19082592564",Alor Star,"0.0",Alor Star--Malaysia,cl2,Malaysia,AS,c18,c16,b01,"8704","3730.0","2874.0","77397","15308.0","0.568591586098772","0.243663443950875","0.187744969950353",B : Medium increase and minor decrease,B,"6.1167","1003667","12","0.0","4","1995"
"51.0",Al-Qahirah (Cairo)--Egypt,1470344_22812,"1.0","0.0",Env. 2000,"1.0",plain,amont urb,,"48.0","50451558.47236","50.45155847236",Al-Qahirah (Cairo),"5.0",Al-Qahirah (Cairo)--Egypt,cl1,Egypt,AF,c15,c19,b13,"101651","103029.0","189367.0","2273498","394047.0","0.257966689252805","0.261463734021576","0.480569576725619",D : Minor increase and minor decrease,D,"30.0392","312394","72","13.0","1","2000"
"12.0",Al-Raqqa--Syrian Arab Republic,1110071_22607,"1.0","0.0",Env. 1995,"4.0",corr plain,amont urb aval,,"0.0","0.0","0.0",Al-Raqqa,"0.0",Al-Raqqa--Syrian Arab Republic,cl1,Syrian Arab Republic,AS,c12,c14,b08,"14543","28744.0","25054.0","448546","68341.0","0.212800515064164","0.420596713539457","0.36660277139638",E : Minor increase and medium decrease,E,"35.95","390167","11","0.0","4","1995"
"38.0",Amara--Iraq,1343111_21527,"1.0","0.0",Env. 1990,"2.0",corr plain,amont aval,,"0.0","0.0","0.0",Amara,"0.0",Amara--Iraq,cl2,Iraq,AS,c15,c19,b09,"10467","44223.0","8952.0","522966","63642.0","0.164466861506552","0.694871311398133","0.140661827095314",E : Minor increase and medium decrease,E,"31.8344","471524","11","0.0","2","1990"
"121.0",Angeles City--Philippines,2165769_22084,"1.0","0.0",Env. 2005,"4.0",corr,amont urb,,"30.0","3680840.22447","3.68084022447",Angeles City,"2.0",Angeles City--Philippines,cl2,Philippines,AS,c18,c16,b01,"326188","22646.0","32911.0","1049737","381745.0","0.854465677350064","0.0593223224927635","0.086212000157173",A : Major increase and minor decrease,A,"15.15","1205833","26","10.0","4","2005"
"32.0",Ankang--China,1296245_23575,"1.0","0.0",Env. 1995,"4.0",corr plain,amont urb aval,,"3.0","241356.86852","0.24135686852",Ankang,"1.0",Ankang--China,cl2,China,AS,c11,c13,b04,"80779","10796.0","42327.0","313552","133902.0","0.603269555346447","0.0806261295574375","0.316104315096115",B : Medium increase and minor decrease,B,"32.6912","1090297","29","8.0","4","1995"
"283.0",Ankara--Turkey,887572_22656,"0.0","0.0",,"0.0",,,,"6.0","540815.89693","0.54081589693",Ankara,"1.0",Ankara--Turkey,cl2,Turkey,AS,c09,c16,b04,"12108","3817.0","12075.0","28242","28000.0","0.432428571428571","0.136321428571429","0.43125",B : Medium increase and minor decrease,B,"39.9199","328543","25","6.0","0",
"269.0",Ann Arbor--United States of America,758032_22917,"0.0","0.0",,"0.0",,,,"3.0","461567.36441","0.46156736441",Ann Arbor,"0.0",Ann Arbor--United States of America,cl2,United States of America,AN,c08,c16,b04,"3759","4498.0","19408.0","33635","27665.0","0.135875655159949","0.162588107717332","0.701536237122718",D : Minor increase and minor decrease,D,"42.2776","-837409","7","0.0","0",
"86.0",Anning--China,1741039_23577,"1.0","0.0",Env. 1990,"2.0",plain,amont urb aval,,"6.0","2393447.98243","2.39344798243",Anning,"0.0",Anning--China,cl2,China,AS,c11,c13,b01,"4246","608.0","379.0","30620","5233.0","0.81138926046245","0.116185744314925","0.0724249952226256",A : Major increase and minor decrease,A,"24.9211","1024784","8","0.0","2","1990"
"195.0",Antananarivo--Madagascar,2788321_21792,"1.0","0.0",Env. 2000,"3.0",corr plain,urb aval,,"12.0","535162.33832","0.53516233832",Antananarivo,"1.0",Antananarivo--Madagascar,cl2,Madagascar,AF,c14,c13,b01,"117941","16770.0","37002.0","305309","171713.0","0.68684956875717","0.0976629608707553","0.215487470372074",B : Medium increase and minor decrease,B,"-18.9137","475361","20","2.0","3","2000"
"188.0",Aracaju--Brazil,2726758_20174,"1.0","1.0",Env. 2005,"1.0",corr plain,amont urb,,"2.0","1533183.69784","1.53318369784",Aracaju,"0.0",Aracaju--Brazil,cl2,Brazil,SA,c18,c17,b02,"9787","12238.0","49557.0","330668","71582.0","0.136724316168869","0.170964767679025","0.692310916152105",D : Minor increase and minor decrease,D,"-10.9111","-370717","16","0.0","1","2005"
